year,issue,company,ticker,sponsorType,meanActivist,modeDistinct
2010,gg,"EOG RESOURCES, INC.",EOG,union,0.0,0
2010,env,"EOG RESOURCES, INC.",EOG,SRI fund,0.0,0
2010,gg,BALL CORPORATION,BLL,Individual,0.0,0
2010,gg,"PENNS WOODS BANCORP, INC.",PWOD,Individual,1.0,1
2010,no-esg,BALL CORPORATION,BLL,fund,1.0,0
2010,no-esg,BANK OF AMERICA CORPORATION,BAC,union,0.0,0
2010,no-esg,BANK OF AMERICA CORPORATION,BAC,union,0.0,0
2010,gg,"SHORE BANCSHARES, INC.",SHBI,Individual,1.0,1
2010,gg,BANK OF AMERICA CORPORATION,BAC,,0.0,0
2010,gg,BANK OF AMERICA CORPORATION,BAC,Individual,0.0,0
2010,gg,BANK OF AMERICA CORPORATION,BAC,Individual,0.0,1
2010,soc,BANK OF AMERICA CORPORATION,BAC,Individual,0.0,0
2010,gg,"THE RYLAND GROUP, INC.",RYL,public pension,0.0,0
2010,env,"THE RYLAND GROUP, INC.",RYL,other,0.0,0
2010,no-esg,"EOG RESOURCES, INC.",EOG,union,0.0,0
2010,no-esg,BANK OF AMERICA CORPORATION,BAC,Individual,0.0,-1
2010,gg,MARATHON OIL CORPORATION,MRO,Individual,0.0,-1
2010,no-esg,MARATHON OIL CORPORATION,MRO,Individual,0.0,-1
2010,no-esg,GENERAL ELECTRIC COMPANY,GE,Individual,0.0,0
2010,gg,"BANCORPSOUTH, INC.",BXS,Individual,1.0,1
2010,gg,S&P GLOBAL INC.,SPGI,Individual,0.0,0
2010,soc,E. I. DU PONT DE NEMOURS AND COMPANY,DD,,0.0,0
2010,gg,GENERAL ELECTRIC COMPANY,GE,fund,0.0,0
2010,gg,BRYN MAWR BANK CORPORATION,BMTC,Individual,1.0,1
2010,gg,GENERAL ELECTRIC COMPANY,GE,Individual,0.0,0
2010,gg,E. I. DU PONT DE NEMOURS AND COMPANY,DD,Individual,0.0,0
2010,gg,CAPITAL ONE FINANCIAL CORPORATION,COF,public pension,1.0,0
2010,env,VALERO ENERGY CORPORATION,VLO,public pension,0.0,0
2010,gg,"WEIS MARKETS, INC.",WMK,other,0.0,0
2010,no-esg,CAPITAL ONE FINANCIAL CORPORATION,COF,other,0.0,0
2010,gg,CORNING INCORPORATED,GLW,company,1.0,0
2010,no-esg,KIMBERLY-CLARK CORPORATION,KMB,Individual,0.0,0
2010,no-esg,EMC CORPORATION,EMC,Individual,0.0,-1
2010,no-esg,VALERO ENERGY CORPORATION,VLO,other,0.0,0
2010,gg,EMC CORPORATION,EMC,religious,0.0,-1
2010,gg,NYSE EURONEXT,NYX,Individual,0.0,0
2010,gg,NYSE EURONEXT,NYX,Individual,0.0,-1
2010,soc,VALERO ENERGY CORPORATION,VLO,other,0.0,0
2010,gg,"VENTAS, INC.",VTR,fund,0.0,-1
2010,gg,AT&T INC.,T,Individual,0.0,0
2010,gg,FERRO CORPORATION,FOE,,0.0,-1
2010,gg,"GREEN BANKSHARES, INC.",GRCB,Individual,1.0,0
2010,no-esg,AT&T INC.,T,other,0.0,0
2010,gg,CLECO CORPORATION,CNL,Individual,1.0,0
2010,gg,AT&T INC.,T,other,0.0,0
2010,gg,"GREEN BANKSHARES, INC.",GRCB,Individual,0.0,-1
2010,no-esg,AT&T INC.,T,Individual,0.0,0
2010,gg,"CBL & ASSOCIATES PROPERTIES, INC.",CBL,Individual,1.0,0
2010,soc,"MOTOROLA SOLUTIONS, INC.",MSI,,0.0,0
2010,no-esg,"MOTOROLA SOLUTIONS, INC.",MSI,Individual,0.0,0
2010,env,FEDERAL REALTY INVESTMENT TRUST,FRT,union,0.0,0
2010,gg,BAXTER INTERNATIONAL INC.,BAX,Individual,0.0,-1
2010,gg,"NV ENERGY, INC.",NVE,Individual,1.0,0
2010,soc,EARTHLINK HOLDINGS CORP.,ELNK,public pension,0.0,0
2010,soc,"GARDNER DENVER, INC.",GDI,SRI fund,1.0,1
2010,gg,SIGMA-ALDRICH CORPORATION,SIAL,Individual,0.0,-1
2010,gg,"ORRSTOWN FINANCIAL SERVICES, INC.",ORRF,,1.0,1
2010,gg,BRISTOL-MYERS SQUIBB COMPANY,BMY,Individual,0.0,0
2010,gg,"MERCHANTS BANCSHARES, INC.",MBVT,Individual,1.0,1
2010,gg,THE DUN & BRADSTREET CORPORATION,DNB,Individual,0.0,0
2010,env,BRISTOL-MYERS SQUIBB COMPANY,BMY,Special Interest,0.0,0
2010,no-esg,"PLUM CREEK TIMBER COMPANY, INC.",PCL,SRI fund,0.0,0
2010,gg,BRISTOL-MYERS SQUIBB COMPANY,BMY,Individual,0.0,0
